lot_id,lot_name,permit,enforcement_days,posted_restrictions,enforcement_start,enforcement_end
312,Nyumburu Culture Center,,Always,Miscellaneous Permissions,0:00:00,0:00:00
313,Oakland Hall,,Always,Miscellaneous Permissions,0:00:00,0:00:00
314,P. Mitchell Art/Soc Bldg,,Always,Miscellaneous Permissions,0:00:00,0:00:00
315,Paint Branch Drive,,Always,Miscellaneous Permissions,0:00:00,0:00:00
316,Patuxent Bldg,,Always,Miscellaneous Permissions,0:00:00,0:00:00
317,Physical Science Technology,,Always,Miscellaneous Permissions,0:00:00,0:00:00
318,Plant Sciences Bldg,,Always,Miscellaneous Permissions,0:00:00,0:00:00
319,Pocomoke Bldg,,Always,Miscellaneous Permissions,0:00:00,0:00:00
320,Preinkert Field House,,Always,Miscellaneous Permissions,0:00:00,0:00:00
321,Prince Frederick Hall,,Always,Miscellaneous Permissions,0:00:00,0:00:00
322,Pyon-Chen,,Always,Miscellaneous Permissions,0:00:00,0:00:00
323,Queen Anne's Hall,,Always,Miscellaneous Permissions,0:00:00,0:00:00
324,Regents Drive,,Always,Miscellaneous Permissions,0:00:00,0:00:00
325,Ritchie Colliseum,,Always,Miscellaneous Permissions,0:00:00,0:00:00
326,Rossborough Drive,,Always,Miscellaneous Permissions,0:00:00,0:00:00
327,Rossborough Inn,,Always,Miscellaneous Permissions,0:00:00,0:00:00
328,Rossborough Lane,,Always,Miscellaneous Permissions,0:00:00,0:00:00
329,SCUB 1,,Always,Miscellaneous Permissions,0:00:00,0:00:00
330,SCUB 2,,Always,Miscellaneous Permissions,0:00:00,0:00:00
331,SCUB 3,,Always,Miscellaneous Permissions,0:00:00,0:00:00
332,SCUB 4,,Always,Miscellaneous Permissions,0:00:00,0:00:00
333,SPH,,Always,Miscellaneous Permissions,0:00:00,0:00:00
334,School of Public Health,,Always,Miscellaneous Permissions,0:00:00,0:00:00
335,Seneca Bldg,,Always,Miscellaneous Permissions,0:00:00,0:00:00
336,Severn Bldg,,Always,Miscellaneous Permissions,0:00:00,0:00:00
337,Shipley Field,,Always,Miscellaneous Permissions,0:00:00,0:00:00
338,Shoemaker Bldg,,Always,Miscellaneous Permissions,0:00:00,0:00:00
339,Skinner Bldg,,Always,Miscellaneous Permissions,0:00:00,0:00:00
340,Somerset Hall,,Always,Miscellaneous Permissions,0:00:00,0:00:00
341,St. Mary's Hall,,Always,Miscellaneous Permissions,0:00:00,0:00:00
